slug,url,title,price,description,image_urls,image_count,thumb_img,seller_name,seller_score,seller_reviews,seller_location,seller_lat,seller_lon,seller_member_since,seller_account_days,seller_verifications,seller_items_sold,favorites,search_region,scraped_at,is_fraud,price_log,price_z,price_pct_below_median,price_suspicious_low,price_zero,title_len,desc_len,desc_title_ratio,fraud_kw_count,legit_kw_count,has_phone_number,has_external_contact,exclamation_count,caps_ratio,desc_too_short,seller_new_account,seller_very_new,seller_no_reviews,seller_low_score,seller_days_log,seller_unverified,no_images,few_images,fraud_score_heuristic,fraud_probability,prediction,prediction_label
portatil-lenovo-thinkpad-l460-ssd-500gb-1241278553,https://es.wallapop.com/item/portatil-lenovo-thinkpad-l460-ssd-500gb-1241278553,1 / 3,99.0,"Portátil Lenovo Thinkpad L460 en color negro. Un equipo fiable y versátil.

Ordenador portátil Lenovo Thinkpad L460

Stock 2

- Incluye portátil y cargador
- instalado Windows 11 PRO 64 BITS
- Intel Core i5 6200U 2.40Ghz
- 8GB RAM
- SSD 500GB
Diseño elegante y profesional.
- Teclado cómodo para largas sesiones de escritura.


No portátil, Notebook, cpu, RAM , SSD, rom, Windows 10, gráfica, rom, pantalla , monitor, VGA , hdmi,
Color
Negro",https://cdn.wallapop.com/images/10420/kj/0w/__/c10420p1241278553/i6364216594.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/0w/__/c10420p1241278553/i6364216601.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/0w/__/c10420p1241278553/i6364216608.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/0w/__/c10420p1241278553/i6364216594.jpg?pictureSize=W320|https://cdn.wallapop.com/images/10420/kj/0w/__/c10420p1241278553/i6364216601.jpg?pictureSize=W320|https://cdn.wallapop.com/images/10420/kj/0w/__/c10420p1241278553/i6364216608.jpg?pictureSize=W320,28,https://cdn.wallapop.com/images/10420/kj/0w/__/c10420p1241278553/i6364216594.jpg?pictureSize=W640,,4.9,284,Valencia,,,desconocida,-1,0,0,38,Valencia,2026-03-19 23:05:47,0,4.605170185988092,-0.1050184431120839,0.292857142855051,0,0,5,441,73.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1.5,0.01638879991558552,0,Legítimo
hp-laptop-14-pc-negro-2023-1242458192,https://es.wallapop.com/item/hp-laptop-14-pc-negro-2023-1242458192,1 / 5,65.0,"Portátil en buen estado, le falta una tapa (ver foto).
Procesador: AMD 3020e, Radeon Graphics
Sistema: 64 bits, procesador x64
Color
Negro",https://cdn.wallapop.com/images/10420/kj/q6/__/c10420p1242458192/i6371370025.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/q6/__/c10420p1242458192/i6371370047.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/q6/__/c10420p1242458192/i6371370067.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/q6/__/c10420p1242458192/i6371389505.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/q6/__/c10420p1242458192/i6371389515.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/q6/__/c10420p1242458192/i6371370025.jpg?pictureSize=W320,29,https://cdn.wallapop.com/images/10420/kj/q6/__/c10420p1242458192/i6371370025.jpg?pictureSize=W640,,5.0,1,Valencia,,,desconocida,-1,0,0,2,Valencia,2026-03-19 23:05:53,0,4.189654742026425,-0.1921069081318609,0.5357142857104592,0,0,5,138,23.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1.5,0.04369857456733492,0,Legítimo
portatil-asus-vivobook-1242546357,https://es.wallapop.com/item/portatil-asus-vivobook-1242546357,1 / 8,130.0,"Portatil Asus 14"" buen estado aunque la batería ya no funciona. Se pueden ver las especificaciones en las fotos. Hay unos golpes menores que también tomé en foto. El portatil cuenta con un screenpad, lo cual puede ser util. Precio de compra 750€. No propongo envío, estoy en Valencia.
Color
Gris",https://cdn.wallapop.com/images/10420/kj/s2/__/c10420p1242546357/i6371946832.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/s2/__/c10420p1242546357/i6371946880.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/s2/__/c10420p1242546357/i6371946877.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/s2/__/c10420p1242546357/i6371946874.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/s2/__/c10420p1242546357/i6371946872.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/s2/__/c10420p1242546357/i6371946871.jpg?pictureSize=W640,50,https://cdn.wallapop.com/images/10420/kj/s2/__/c10420p1242546357/i6371946832.jpg?pictureSize=W640,,5.0,1,Valencia,,,desconocida,-1,0,0,6,Valencia,2026-03-19 23:06:00,0,4.875197323201151,-0.0256142544175814,0.0714285714280612,0,0,5,295,49.16666666666666,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1.5,0.04080195511841929,0,Legítimo
portatil-samsung-15-6-i3-ssd-258gb-12gb-ram-1242773540,https://es.wallapop.com/item/portatil-samsung-15-6-i3-ssd-258gb-12gb-ram-1242773540,1 / 6,85.0,"Portátil Samsung con pantalla de 15.6 pulgadas.

- Procesador Intel Core i3.
- Almacenamiento SSD de 258GB.
- Memoria RAM de 12GB.
Color
Negro",https://cdn.wallapop.com/images/10420/kj/wy/__/c10420p1242773540/i6373335725.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/wy/__/c10420p1242773540/i6373335729.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/wy/__/c10420p1242773540/i6373335740.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/wy/__/c10420p1242773540/i6373335750.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/wy/__/c10420p1242773540/i6373335759.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/wy/__/c10420p1242773540/i6373335769.jpg?pictureSize=W640,31,https://cdn.wallapop.com/images/10420/kj/wy/__/c10420p1242773540/i6373335725.jpg?pictureSize=W640,,5.0,2,Picassent,,,desconocida,-1,0,0,3,Valencia,2026-03-19 23:06:07,0,4.454347296253507,-0.140878399296698,0.3928571428543367,0,0,5,142,23.666666666666668,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1.5,0.015914805175938955,0,Legítimo
hp-dv6-laptop-1241794699,https://es.wallapop.com/item/hp-dv6-laptop-1241794699,1 / 6,40.0,"Laptop HP dv6 en color negro y multicolor. Tiene unos desperfectos que no afectan al funcionamiento.

- Pantalla de 15.6 pulgadas.
- 4gb de ram.
- 341gb de almacenamiento hdd.
- Intel Core 2 Duo
- ATI Mobility Radeon HD 4500 Series
Color
Negro",https://cdn.wallapop.com/images/10420/kj/by/__/c10420p1241794699/i6367203863.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/by/__/c10420p1241794699/i6367203913.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/by/__/c10420p1241794699/i6367203885.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/by/__/c10420p1241794699/i6372591643.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/by/__/c10420p1241794699/i6372591821.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/by/__/c10420p1241794699/i6372591780.jpg?pictureSize=W640,31,https://cdn.wallapop.com/images/10420/kj/by/__/c10420p1241794699/i6367203863.jpg?pictureSize=W640,,4.85,46,Catarroja,,,desconocida,-1,0,0,7,Valencia,2026-03-19 23:06:14,0,3.713572066704308,-0.2561425441758145,0.7142857142806123,1,0,5,243,40.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,4.5,0.134805447035189,0,Legítimo
ordenador-portatil-sony-vaio-plata-1241758965,https://es.wallapop.com/item/ordenador-portatil-sony-vaio-plata-1241758965,1 / 8,70.0,"Ordenador portátil plateado de la marca Sony muy bien cuidado con su cargador original. Tiene instalado Windows 10.
Pantalla 17.3 pulgadas. Disco de 480 Gb
Color
Plateado",https://cdn.wallapop.com/images/10420/kj/b7/__/c10420p1241758965/i6366968220.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/b7/__/c10420p1241758965/i6366968232.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/b7/__/c10420p1241758965/i6366968258.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/b7/__/c10420p1241758965/i6366968246.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/b7/__/c10420p1241758965/i6373847861.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/b7/__/c10420p1241758965/i6373847873.jpg?pictureSize=W640,49,https://cdn.wallapop.com/images/10420/kj/b7/__/c10420p1241758965/i6366968220.jpg?pictureSize=W640,,4.85,95,Alfafar,,,desconocida,-1,0,0,9,Valencia,2026-03-19 23:06:19,0,4.262679877041316,-0.1792997809230702,0.4999999999964286,0,0,5,170,28.33333333333333,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1.5,0.03888774949057918,0,Legítimo
consola-portatil-vintage-1242009609,https://es.wallapop.com/item/consola-portatil-vintage-1242009609,1 / 3,8.0,"Consola de videojuegos portátil de la marca Game, con diseño retro y divertido. Ideal para coleccionistas o para revivir la nostalgia de los juegos clásicos.

- Incluye caja original.
- Pantalla a color.
- Botones de control.
- Múltiples idiomas en la caja: Español, Francés, Inglés, Italiano.
Género
Arcade",https://cdn.wallapop.com/images/10420/kj/gk/__/c10420p1242009609/i6368570394.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/gk/__/c10420p1242009609/i6368570455.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/gk/__/c10420p1242009609/i6368570495.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kj/gk/__/c10420p1242009609/i6368570394.jpg?pictureSize=W320|https://cdn.wallapop.com/images/10420/kj/gk/__/c10420p1242009609/i6368570455.jpg?pictureSize=W320|https://cdn.wallapop.com/images/10420/kj/gk/__/c10420p1242009609/i6368570495.jpg?pictureSize=W320,40,https://cdn.wallapop.com/images/10420/kj/gk/__/c10420p1242009609/i6368570394.jpg?pictureSize=W640,,5.0,1,Valencia,,,desconocida,-1,0,0,2,Valencia,2026-03-19 23:06:25,0,2.19722457733622,-0.3381081583120752,0.9428571428504082,1,0,5,307,51.16666666666666,0,1,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,3.0,0.21915090189791409,0,Legítimo
portatil-asus-1243010879,https://es.wallapop.com/item/portatil-asus-1243010879,1 / 8,25.0,"Portátil Asus en color negro.

- Pantalla con algunos defectos lleves
- SIN Cargador
- Bateria ""muerta""
- Teclado QWERTY español.
- 4GB RAM
- 500GB Disco duro
Acepto envios Wallapop
Precio fijo
Mas ofertas en mi perfil
Se vende como DEFECTUOSO .
No acepto devolucion de articulos defectuosos.
Color
Negro",https://cdn.wallapop.com/images/10420/kk/21/__/c10420p1243010879/i6374760470.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/21/__/c10420p1243010879/i6374760486.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/21/__/c10420p1243010879/i6374760488.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/21/__/c10420p1243010879/i6374760484.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/21/__/c10420p1243010879/i6374760495.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/21/__/c10420p1243010879/i6374760492.jpg?pictureSize=W640,35,https://cdn.wallapop.com/images/10420/kk/21/__/c10420p1243010879/i6374760470.jpg?pictureSize=W640,,4.95,199,Gandía,,,desconocida,-1,0,0,1,Valencia,2026-03-19 23:06:31,0,3.258096538021482,-0.2945639258021867,0.8214285714227041,1,0,5,304,50.66666666666666,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,4.5,0.09281805870117264,0,Legítimo
lenovo-thinkpad-l460-portatil-ssd-500gb-1240834303,https://es.wallapop.com/item/lenovo-thinkpad-l460-portatil-ssd-500gb-1240834303,1 / 3,100.0,"Portátil Lenovo Thinkpad L460 en color negro. Un equipo fiable y versátil.

Ordenador portátil Lenovo Thinkpad L460

Stock 2

- Incluye portátil y cargador
- instalado Windows 11 PRO 64 BITS
- Intel Core i5 6200U 2.40Ghz
- 8GB RAM
- SSD 500GB
Diseño elegante y profesional.
- Teclado cómodo para largas sesiones de escritura.


No portátil, Notebook, cpu, RAM , SSD, rom, Windows 10, gráfica, rom, pantalla , monitor, VGA , hdmi,
Color
Negro",https://cdn.wallapop.com/images/10420/ki/rd/__/c10420p1240834303/i6361550762.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ki/rd/__/c10420p1240834303/i6361550778.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ki/rd/__/c10420p1240834303/i6361550792.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ki/rd/__/c10420p1240834303/i6361550762.jpg?pictureSize=W320|https://cdn.wallapop.com/images/10420/ki/rd/__/c10420p1240834303/i6361550778.jpg?pictureSize=W320|https://cdn.wallapop.com/images/10420/ki/rd/__/c10420p1240834303/i6361550792.jpg?pictureSize=W320,28,https://cdn.wallapop.com/images/10420/ki/rd/__/c10420p1240834303/i6361550762.jpg?pictureSize=W640,,4.9,284,Valencia,,,desconocida,-1,0,0,25,Valencia,2026-03-19 23:06:37,0,4.61512051684126,-0.1024570176703258,0.2857142857122449,0,0,5,441,73.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1.5,0.01638879991558552,0,Legítimo
altavoz-bluetooth-portatil-blanco-y-gris-1243083299,https://es.wallapop.com/item/altavoz-bluetooth-portatil-blanco-y-gris-1243083299,1 / 4,15.0,"Altavoz portátil con un diseño moderno y compacto.

- Acabado en blanco y gris.
- Botones de control en la parte superior.
Color
Gris",https://cdn.wallapop.com/images/10420/kk/3l/__/c10420p1243083299/i6375139216.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/3l/__/c10420p1243083299/i6375139237.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/3l/__/c10420p1243083299/i6375139254.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/3l/__/c10420p1243083299/i6375139277.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kk/3l/__/c10420p1243083299/i6375139216.jpg?pictureSize=W320|https://cdn.wallapop.com/images/10420/kk/3l/__/c10420p1243083299/i6375139237.jpg?pictureSize=W320,27,https://cdn.wallapop.com/images/10420/kk/3l/__/c10420p1243083299/i6375139216.jpg?pictureSize=W640,,4.9,10,Paterna,,,desconocida,-1,0,0,0,Valencia,2026-03-19 23:06:44,0,2.772588722239781,-0.3201781802197682,0.8928571428507653,1,0,5,133,22.166666666666668,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,4.5,0.3756069601535191,0,Legítimo
